이름,종류,이미지,URL,유실 날짜,성별,견종/묘종,색상,몸무게,도,"시, 군, 구","동, 읍, 면",세부 주소,마지막 제보 지역,중성화,인식칩,"하네스, 목줄, 옷",추가 이미지1,추가 이미지2,그 외 세부 특징,추가 이미지3,추가 이미지4,,,,,,,,,,,,
난희,개,난희.jpg,,2021.03.10,암,믹스,"베이지색
흰색",4kg,서울/경기/인천,"안산시 단원구","선부동",달미공원,"경기도 시흥시 목감동
(21.5.5.)",O,내장칩,,난희1.jpg,난희2.jpg,"세모 얼굴
얼룩무늬 몸통",난희3.jpg,난희4.jpg,,,,,,,,,,,,
똘이,개,똘이.jpg,,2022.02.23,암,믹스,"흰색
베이지색",12kg,서울/경기/인천,"용인시 처인구","남동",함박산,,X,없음,"빨간색 목줄",똘이1.jpg,똘이2.jpg,"왼쪽 귀 접힘
갈색 코
등, 귀 누런색",똘이3.jpg,똘이4.jpg,,,,,,,,,,,,
미미 (시츄),개,미미_시츄.jpg,,2022.07.06,암,시츄,연갈색,2kg,경상/부산/울산/대구,"창원시 진해구","이동",이동택지,,O,없음,"분홍색 실리콘 목줄 이름표",미미_시츄1.jpg,미미_시츄2.jpg,"눈 주위 갈색털
귀 갈색+회색
특이한 아랫니 치열",미미_시츄3.jpg,미미_시츄4.jpg,,,,,,,,,,,,
토리,개,토리.jpg,,2022.09.23,수,믹스,흰색,5kg,서울/경기/인천,"서울시 구로구","구로동",안양천,,X,내장칩,"흰색 바탕 캐릭터무늬 옷
베이지색 하네스",토리1.jpg,토리2.jpg,"분홍색 쫑긋 귀
꼬리 말림",토리3.jpg,토리4.jpg,,,,,,,,,,,,
춘향,개,춘향.jpg,,2022.12.04,암,믹스,"크림색
갈색",6kg,충청/대전/세종,"대전시 서구","도안동",도안숲공원,,O,내장칩,"노란색조끼
야광 하네스
주황+카키색 리드줄",춘향1.jpg,춘향2.jpg,"짧은 다리
부정교합, 아래 덧니
귀쫑긋
코에 하얀점
귀 꼬리 등줄기 따라 진갈색
마지막 두 사진은 구조당시",춘향3.jpg,춘향4.jpg,,,,,,,,,,,,
레오,개,레오_천안.jpg,,2023.04.08,수,삽살믹스,"흰색
베이지색",7kg,충청/대전/세종,"천안시","다가동",충무대로,,,내장칩,,레오1.jpg,레오2.jpg,"콧등 분홍반점
앉을때 왼쪽 다리 쭉 빠짐",레오3.jpg,레오4.jpg,,,,,,,,,,,,
바둑이,개,바둑이.png,,2023.05.05,수,믹스,"흰색
갈색",4kg,전라/광주,"전주시 덕진구","우아동",전주역,,,,,바둑이1.png,바둑이2.png,"등, 다리 점박이
꼬리 시작 부분 갈색",,,,,,,,,,,,,,
제이,개,제이.png,,2023.07.02,수,스탠다드푸들,"흰색
갈색
",25kg,서울/경기/인천,"용인시 처인구","고림동
유방동","코아루아파트
인정프린스아파트",,X,,"노란색 형광 목줄",제이1.jpg,제이2.jpg,"눈,귀 갈색
콧속 핑크색",제이3.png,제이4.png,,,,,,,,,,,,
아리 (영등포),개,아리_영등포.jpg,,2023.08.03,암,믹스,"베이지
흰색",7kg,서울/경기/인천,"서울시 영등포구","양평동",선유도역,,,내장칩,,아리_영등포1.jpg,아리_영등포2.jpg,"왼쪽 귀 접힘
꼬리 끝 흰색
앞뒷발 흰양말",아리_영등포3.jpg,아리_영등포4.png,,,,,,,,,,,,
설,개,설.jpg,,2023.08.06,암,말티즈,흰색,2kg,경상/부산/울산/대구,"대구시 달성군","화원읍 명곡리",명곡미래빌4단지,,O,없음,"핑크색 하네스
핑크색 목걸이+인식번호/연락처",설1.jpg,설2.jpg,"앞니 없음
우측 눈 안보임
꼬리 끝 휘어짐
머리 땜빵 2개",설3.jpg,설4.png,,,,,,,,,,,,
루이,개,루이.png,,2023.08.22,암,믹스,갈색,6kg,서울/경기/인천,"서울시 구로구","궁동",와룡산 원각사,,O,내장칩,,루이1.png,루이2.png,"가슴, 뒷발 흰털
검은색 쳐진 귀",루이3.png,,,,,,,,,,,,,
천옥이,개,천옥이.png,,2023.09.27,암,믹스,갈색,5kg,경상/부산/울산/대구,"울산시 남구","무거동",문수중학교,,,,,천옥이1.png,천옥이2.png,"접힌 귀
입주변 검정털",천옥이3.png,천옥이4.png,,,,,,,,,,,,
메론이,개,메론이.png,,2023. 10. 28,수,진도믹스,흰색,18kg,경상/부산/울산/대구,"경산시","진량읍 신상리",신상중학교,,,,"노란색 목줄 + 뱃지
검은색 리드줄
",메론이1.png,메론이2.png,"귀 쫑긋
분홍색 콧등",메론이3.png,,,,,,,,,,,,,
쿠키,개,쿠키.jpg,,2023.12.09,암,진도,"검은색
(호구)
",17kg,전라/광주,"완주군","봉동읍",,,X,없음,"가죽 목줄",쿠키1.jpg,쿠키2.jpg,"얼굴 무늬 특이함
작은 갈색눈 사이 멂
턱 밑 흰털
말린 꼬리
검은 발
등 v자 모양 검은 무늬",쿠키3.jpg,쿠키4.jpg,,,,,,,,,,,,
샤니,개,샤니.png,,2023.12.25,수,믹스,"검은색
흰색
",12kg,서울/경기/인천,"화성시","정남면 귀래리",내향로 250-7,,,,"빨간색 목줄",샤니1.png,샤니2.png,"꼬리 끝 흰색
눈 주변, 귀 끝 갈색",샤니3.png,샤니4.png,,,,,,,,,,,,
강쥐,개,강쥐.jpg,https://open.kakao.com/o/gy3GJ4sg,2023.12.27,암,진도믹스,흰색,10kg,서울/경기/인천,"의정부시","호원동",범골역,,O,내장칩,"회색 하네스
녹색발광등
뼈다귀 모양 네임택",강쥐1.jpg,강쥐2.jpg,"일반적인 진도보다 작음
귓속, 코 분홍색",강쥐3.jpg,강쥐4.jpg,,,,,,,,,,,,
이리,개,이리.jpg,,2023.12.31,수,믹스,"갈색
흰색",10kg,서울/경기/인천,"오산시","오산동",오산시청,,,,,이리1.jpg,이리2.jpg,"이마 흰 날개
쳐진귀, 끝 검정색
앞다리 점무늬
오른쪽 뒷다리 불편",이리3.jpg,이리4.jpg,,,,,,,,,,,,
비비,개,비비.jpg,,2024.01.06,암,믹스,갈색,8kg,경상/부산/울산/대구,"부산시 강서구","대저2동",맥도생태공원,,,내장칩,,비비1.jpg,비비2.jpg,"얼굴, 귀 갈기털
눈 주변, 가슴,목 흰털
흰색 발",비비3.jpg,비비4.jpg,,,,,,,,,,,,
웅이,개,웅이.jpg,,2024.01.21,수,리트리버믹스,검정색,30kg,경상/부산/울산/대구,"울산시 북구","천곡동","한진아파트,
천곡마을",,,,"검은색 목줄",웅이1.jpg,웅이2.jpg,"접힌 귀
말린 꼬리
가슴, 입주변 흰털",웅이3.jpg,웅이4.jpg,,,,,,,,,,,,
코코,개,코코.jpg,,2024.01.28,암,리트리버,검정색,25kg,서울/경기/인천,"의왕시","오전동",산우물 미꾸라지매운탕,,X,없음,,코코1.jpg,코코2.jpg,,,,,,,,,,,,,,,
대박이,고양이,대박이.jpg,,2024.03.10,수,"코리안숏헤어
(고양이)",회색,6kg,서울/경기/인천,"수원시 권선구","세류2동",장터치킨,,O,,,대박이1.jpg,대박이2.jpg,"고등어 무늬
노란색 눈
입, 턱, 목 흰색
발 흰색",대박이3.jpg,대박이4.jpg,,,,,,,,,,,,
달,개,달.jpg,https://open.kakao.com/o/gStAkJpg,2024. 03.16,수,말티즈,흰색,4kg,서울/경기/인천,"성남시 수정구","신흥3동",종합시장,,O,내장칩,,달1.jpg,달2.jpg,"실종 당시 미용
아래 앞니 하나 없음
사람 보면 혀를 내밂",달3.jpg,달4.jpg,,,,,,,,,,,,
난이,고양이,난이.jpg,https://open.kakao.com/o/ghgEZirg,2024.03.19,수,"코리안숏헤어
(고양이)","회색
흰색",6kg,서울/경기/인천,"서울시 용산구","한강로2가",웰컴금융타워,,O,내장칩,,난이1.jpg,난이2.jpg,"고등어 무늬
목, 가슴 흰색털
앞발 끝 흰색",난이3.jpg,난이4.jpg,,,,,,,,,,,,
캘리,개,캘리.jpg,https://open.kakao.com/o/gKpxB6ig,2024.03.24,수,진도,흰색,15kg,서울/경기/인천,"서울시 강남구","역삼동",도성초등학교,,X,내장칩,,캘리1.jpg,캘리2.jpg,콧등 까짐,캘리3.jpg,캘리4.jpg,,,,,,,,,,,,
오들이,고양이,오들이.jpg,,2024.03.25,암,코리안숏헤어,치즈,4kg,충청/대전/세종,"세종시 ","장군면 봉안리",용손짜장 인근,,O,X,"초록색 목줄 착용",오들이1.jpg,오들이2.jpg,"초록색 눈동자
가슴에 턱받이 같은 흰색털
앞 발가락만 흰 털
뒷 발은 흰색 발목양말",오들이3.jpg,오들이4.jpg,,,,,,,,,,,,
"장군 &
장순",개,장군_장순.jpg,,2024.03.29,기타,진도,흰색,20kg,서울/경기/인천,"고양시 일산동구","성석동",성석능이백숙,,,,,장군&장순1.jpg,장군&장순2.jpg,"귀 접힘(장군)
귀 펴짐(장순)",,,,,,,,,,,,,,
이다,개,이다.jpg,,2024.04.01,암,믹스,"흰색
갈색",10kg,서울/경기/인천,"양주시","남방동",,"[추정] 의정부시 녹양역
[추정] 양주시 삼숭동",X,없음,,이다1.jpg,이다2.jpg,"쫑긋 귀
말린 꼬리, 털 풍성
좌우 얼굴 무늬 다름
입주변 흰색+검은점
억울한 눈 + 위에 검정선",이다3.jpg,이다4.jpg,,,,,,,,,,,,
까미,개,까미.jpg,,2024.04.21,암,라이카,"검은색
흰색",25kg,강원,"횡성군","횡성읍",마산5길,,,,,까미1.jpg,까미2.jpg,"세모귀
갈색눈
말린 꼬리 끝 흰색",까미3.png,까미4.png,,,,,,,,,,,,
베라,개,베라.jpg,https://open.kakao.com/o/gmIzHIpg,2024.04.27,암,믹스,"흰색
노란색
",7kg,서울/경기/인천,"서울시 강남구","개포동",래미안,"[확실] 개포동 강남동산교회
(24.4.30.)
[추정] 양재천 영동2교
(24.5.30.)",,,,베라1.jpg,베라2.jpg,"등줄기 누런색
쫑긋 세모귀",베라3.jpg,베라4.jpg,,,,,,,,,,,,
삼색이,고양이,삼색이.jpg,https://x.com/Custard1630152,2024.04.30,암,코리안숏헤어,삼색 (검/갈/흰),,서울/경기/인천,"인천시 남동구","장수동",인천대공원인근,,X,없음,,삼색이1.jpg,삼색이2.jpg,4월 23일 출산,삼색이3.jpg,삼색이4.jpg,,,,,,,,,,,,
미미 (비글),개,미미_비글.jpg,https://open.kakao.com/o/gMMd1Dpg,2024.05.02,암,비글믹스,"흰색
갈색",14kg,서울/경기/인천,"의정부시","민락동",민락엘레트,,,없음,,미미_비글1.jpg,미미_비글2.jpg,"이마 앞 가르마
배에 혹",미미_비글3.jpg,미미_비글4.jpg,,,,,,,,,,,,
만평이,개,만평이.jpg,https://open.kakao.com/o/gYkW0sqg,2024.05.05,암,푸들,갈색,3kg,서울/경기/인천,"포천시","이동면 도평리",밤나무집 캠핑장,,,,"하늘색 체크무늬 옷",만평이1.jpg,만평이2.jpg,혀 내밀고있음,만평이3.jpg,,,,,,,,,,,,,
산초,개,산초.jpg,,2024.05.06,암,믹스,"흰색
검정색",7kg,경상/부산/울산/대구,"안동시",,제비원로 연미사,,O,없음,,산초1.jpg,산초2.jpg,"점박이 무늬
털이 자라면 삽살개 느낌",산초3.jpg,산초4.jpg,,,,,,,,,,,,
일몽이,개,일몽이.jpg,https://open.kakao.com/o/gheKK9tg,2024.05.15,암,믹스,"검정
흰색",8kg,서울/경기/인천,"광주시","매산동",644-1 공장단지,,X,없음,"파란색 목줄",일몽이1.jpg,일몽이2.jpg,"귀 접힘
가슴 흰털
앞뒷발 흰색",일몽이3.jpg,일몽이4.jpg,,,,,,,,,,,,
마루,개,마루.png,https://open.kakao.com/o/gbqJqXtg,2024.05.15,수,진도믹스,흰색,20kg,서울/경기/인천,"용인시 처인구","삼가동",석성산,"[추정] 백남준아트센터
(24.6.10.)",X,없음,"분홍색 입마개
검은색 목줄
",마루1.jpg,마루2.jpg,"노란 쫑긋 귀
콧잔등 주근깨
눈물자국",마루3.jpg,마루4.jpg,,,,,,,,,,,,
또치,개,또치.jpg,,2024.05.22,수,진도믹스,흰색,12kg,제주,"서귀포시","성산읍",난산리,,O,,,또치1.jpg,,콧잔등 연한 얼룩,,,,,,,,,,,,,,
만복이,개,만복이.jpg,https://open.kakao.com/o/gs7Gjyvg,2024.05.28,수,푸들,갈색,6kg,서울/경기/인천,"포천시","가산면 방축리",화봉산 화산서원,,O,내장칩,"은색 이름표 목걸이",만복이1.jpg,만복이2.jpg,,,,,,,,,,,,,,,
미미 (푸들),개,미미_푸들.jpg,https://open.kakao.com/o/g5fqkKBg,2024.06.06,암,푸들,갈색,4kg,전라/전남,"장성군","장성읍",장성공설운동장,,O,,"방울 달린 노랑목줄 착용",미미_푸들1.jpg,미미_푸들2.jpg,미용직후 유실 (한달이 지나 털이 조금 길었을 것임),미미_푸들3.jpg,미미_푸들4.jpg,,,,,,,,,,,,
보름이,개,보름이.jpg,https://open.kakao.com/o/g1sbkaxg,2024.06.12,암,푸들,갈색,4kg,서울/경기/인천,"서울시 구로구","개봉2동",화목교회,,O,없음,"마른체형
비틀거림
입 주위, 눈가 흰털
백내장, 신부전",보름이1.jpg,보름이2.jpg,,보름이3.jpg,보름이4.jpg,,,,,,,,,,,,
설악,개,설악.jpg,https://open.kakao.com/o/gZpOyfxg,2024.06.13,수,진도믹스,흰색,16kg,경상/부산/울산/대구,"양산시","원동면 화제리",내화아랫길5 카페,화제교회 맞은편 공사장 (24.06.25),O,외장칩,"베이지색 하네스 + 이름표",설악1.jpg,설악2.jpg,"왼쪽 귀 접혀있음 ",설악3.jpg,설악4.jpg,,,,,,,,,,,,
토이,개,토이.jpg,,2024.06.24,수,푸들,"갈색
흰색",5kg,서울/경기/인천,"포천시","소흘읍 송우리",우리병원 맞은편,,O,내장칩,,토이1.jpg,토이2.jpg,"턱부터 가슴까지 흰털
발에 흰털 조금",토이3.jpg,,,,,,,,,,,,,
막내,개,막내.jpg,https://open.kakao.com/o/gksV2aAg,2024.06.25,암,푸들,갈색,2kg,서울/경기/인천,"서울시 금천구","시흥동",동산교회 버스정류장,독산동 정훈공원,X,없음,,막내1.jpg,막내2.jpg,"다리가 길고 체구가 작음
꼬리쪽 털이 뭉쳐있음
심한 치은염",,,,,,,,,,,,,,
크림,개,크림.jpg,https://open.kakao.com/o/g4seDSAg,2024.07.02,암,웰시코기,"갈색
흰색",13kg,경상/부산/울산/대구,"김천시","다수동",,,X,없음,,크림1.jpg,크림2.jpg,"코에 반점 두개
머리 위에 점
일반 웰시보다 작음
몸에비해 소두",크림3.jpg,크림4.jpg,,,,,,,,,,,,
쪼맹이,고양이,쪼맹이.jpg,https://open.kakao.com/o/gMHu2iDg,2024.07.04,수,코리안숏헤어,"갈색
흰색",3kg,서울/경기/인천,"서울시 양천구","신월동",동도센트리움 인근,,O,없음,,쪼맹이1.jpg,쪼맹이2.jpg,"꼬리가 짧고 뭉툭
왼쪽 귀 커팅",,,,,,,,,,,,,,
누리,개,누리.jpg,,2024.07.09,암,"래브라도
리트리버",감정색,35kg,서울/경기/인천,"용인시 처인구","모현읍 동림리",,,,내장칩,,누리1.jpg,,"턱 아래, 가슴 흰털
배에 흉터",,,,,,,,,,,,,,
푸리,개,푸리.jpg,https://open.kakao.com/o/gFR6MbCg,2024.07.10,암,비숑프리제,흰색,3kg,서울/경기/인천,"시흥시","신천동",신천고등학교 인근,,O,내장칩,,푸리1.jpg,푸리2.jpg,몸 흙투성이,푸리3.jpg,푸리4.jpg,,,,,,,,,,,,
복실이,개,복실이.jpg,https://open.kakao.com/o/g2kPC0Cg,2024.07.12,수,믹스,"갈색
흰색",20kg,서울/경기/인천,"안산시 상록구","사사동",현대아파트 인근,,X,내장칩,"파란색 하네스&목줄",복실이1.jpg,복실이2.jpg,걸을때 팔랑거리는 귀,복실이3.jpg,복실이4.jpg,,,,,,,,,,,,
로또,개,로또.jpg,https://open.kakao.com/o/g019JBDg,2024.07.12,수,푸들,"은색
회색",2kg,강원,"강릉시","주문진읍",주문진해수욕장,,O,내장칩,,로또1.jpg,로또2.jpg,"마른 체형에 다리가 긺
눈물자국
긴 꼬리",로또3.jpg,로또4.jpg,,,,,,,,,,,,
모카,개,모카.jpg,https://open.kakao.com/o/goYSmpDg,2024.07.14,암,샤페이,"갈색
검정색",15kg,서울/경기/인천,"광주시","송정동",대주아파트 정문 인근,,O,내장칩,,모카1.jpg,모카2.jpg,얼굴 주름,모카3.jpg,모카4.jpg,,,,,,,,,,,,
성미,개,성미.jpg,https://open.kakao.com/o/gD4zUuEg,2024.07.20,암,진도,흰색,15kg,전라/광주,"광주시 북구","본천동",,,,내장칩,"분홍/하늘 목줄",성미1.jpg,성미2.jpg,콧잔등 상처,성미3.jpg,,,,,,,,,,,,,
둥이,개,둥이.jpg,https://open.kakao.com/o/g3Ig8wEg,2024.07.22,,진도믹스,검정색,9kg,서울/경기/인천,"부천시 원미구","상동",석천초등학교 인근,,,,,둥이1.jpg,둥이2.jpg,,,,,,,,,,,,,,,
소금이,개,소금이.jpg,https://open.kakao.com/o/gTcu8xEg,2024.07.22,암,진도,흰색,14kg,서울/경기/인천,"광명시","하안동",하안주공 13단지 인근,,,,,소금이1.jpg,소금이2.jpg,"도망가다 교통사고 나서 왼쪽 뒷발 다침
꼬리가 길고 풍성해서 말려 올라가 등에 닿음",소금이3.jpg,소금이4.jpg,,,,,,,,,,,,