이름,종류,이미지,완료 날짜,유실 날짜,성별,견종/묘종,색상,몸무게,도,"시, 군, 구","동, 읍, 면",세부 주소,마지막 제보 지역,중성화,인식칩,"하네스, 목줄, 옷",추가 이미지1,추가 이미지2,그 외 세부 특징,추가 이미지3,추가 이미지4,,,,,,,,,,,,,
그레이스,개,그레이스.jpg,2023. 7. 24,2023. 3. 28,암,믹스,,,경기도,"남양주시",,,,,,,,,,,,,,,,,,,,,,,,
코코,개,코코.jpg,2023. 8. 2,2023. 7. 23,,,,,경기도,"용인시",,,,,,,,,,,,,,,,,,,,,,,,
다롱이,개,다롱이.jpg,2023. 8. 15,2023. 8. 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순신이,개,순신이.jpg,2023. 8. 8,,,,,,경상북도,"대구시",,,,,,,,,,,,,,,,,,,,,,,,
연둥이,개,연동이.jpg,2023. 9. 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아토,개,아토.jpg,2023. 9. 10,2023. 4. 13,,,,,경기도,"수원시",,,,,,,,,,,,,,,,,,,,,,,,
뽀소미,개,뽀소미.jpg,2023. 9. 10,2023. 9. 5,,,,,경기도,"안양시",,,,,,,,,,,,,,,,,,,,,,,,
요미,개,요미.jpg,2023. 9. 23,,,,,,서울,"서울시 송파구",,,,,,,,,,,,,,,,,,,,,,,,
오구,개,오구.jpg,2023. 9. 28,2023. 9. 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
둥이,개,둥이.jpg,2023. 10. 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
렉스,개,렉스.jpg,2023. 10. 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하루,개,하루.jpg,2023. 10. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보리,개,보리.jpg,2023. 10. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
재동이,개,재동이.jpg,2023. 10. 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
망고,개,망고.jpg,2023. 11. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
분이,개,분이.jpg,2023. 11. 27,2023. 11. 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
테오,개,테오.jpg,2024. 1. 2,2023. 11. 7,,,,,,"경기도","수원시시",,,,,,,,,,,,,,,,,,,,,,,
우뚱이,개,우뚱이.jpg,2024.01.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
방울이,개,방울이.jpg,2024. 1. 9,2024. 1. 2,,,,,,"서울","서울시 관악구",,,,,,,,,,,,,,,,,,,,,,,
동백이,개,동백이.jpg,2024. 1. 17,2024. 1. 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
커피,개,커피.jpg,2024. 1. 18,2024. 1. 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
루시,개,루시.jpg,2024. 1. 18,2024. 1. 17,,,,,,"경기도","과천시",,,,,,,,,,,,,,,,,,,,,,,
리브,개,리브.jpg,2024. 1. 20,2024. 1. 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
또치,개,또치.jpg,2024. 2. 3,2023. 8. 21,,,,,,"경기도","수원시",,,,,,,,,,,,,,,,,,,,,,,
살구,개,살구.jpg,2024. 2. 10,2024. 2. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
다동이,개,다동이.jpg,2024. 2. 17,2024. 2. 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
레아,개,레아.jpg,2024. 2. 25,2024. 2. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가을이,개,가을이.jpg,2024. 2. 25,2023. 8. 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
길용이,개,길용이.jpg,2024. 3. 9,2023. 9. 29,수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진우,개,진우.jpg,2024. 3. 9,2023. 2. 20,수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
세바,개,세바.jpg,2024. 3. 29,2024. 3. 10,수,,,,,"경기도","용인시",,,,,,,,,,,,,,,,,,,,,,,
후추,개,후추.jpg,2024. 4. 2,2024. 3. 24,,,,,,,"대전시 도전동",,,,,,,,,,,,,,,,,,,,,,,
똘미니,개,똘미니.jpg,2024. 4. 9,2024. 4. 8,,,,,,,"서울시 관악구",,,,,,,,,,,,,,,,,,,,,,,
루키,개,루키.jpg,2024. 4. 14,2024. 4. 6,수,,,,,,"대구시 남구",,,,,,,,,,,,,,,,,,,,,,,
산적이,개,산적이.jpg,2024. 4. 24,2024. 4. 21,수,,,,,,"인천시 미추홀구",,,,,,,,,,,,,,,,,,,,,,,
덕선이,개,덕선이.jpg,2024. 4. 29,2024. 4. 28,암,,,,,"경기도","오산시",,,,,,,,,,,,,,,,,,,,,,,
럭키,개,럭키.jpg,2024. 4. 30,2024. 4. 27,암,,,,,"경기도","안양시",,,,,,,,,,,,,,,,,,,,,,,
코코,개,코코.jpg,2024. 4. 30,2024. 4. 29,암,,,,,"경기도","안양시",,,,,,,,,,,,,,,,,,,,,,,
제티,개,제티.jpg,2024.05.04,2024.04.26,수,,,,,"경기도","성남시",,,,,,,,,,,,,,,,,,,,,,,
꽃비,개,꽃비.jpg,2024.05.09,2024.05.05,암,,,,,"강원도",,,,,,,,,,,,,,,,,,,,,,,,
황구,개,황구.jpg,2024.05.16,2024.05.08,수,,,,,"경기도","남양주시",,,,,,,,,,,,,,,,,,,,,,,
콩새,개,콩새.jpg,2024.05.17,2024.05.15,수,,,,,,"서울시 금천구",,,,,,,,,,,,,,,,,,,,,,,
루루,개,루루.jpg,2024.05.22,2024.04.28,암,,,,,"경기도","용인시",,,,,,,,,,,,,,,,,,,,,,,
몽실,개,몽실.jpg,2024.05.22,2024.05.22,수,,,,,"인천","인천시 서구",,,,,,,,,,,,,,,,,,,,,,,
마루,개,마루.jpg,2024. 5. 23,2024. 5. 8,수,,,,,"경기도","광주시",,,,,,,,,,,,,,,,,,,,,,,
진숙이,개,진숙이.jpg,2024.05.26,2024.04.10,암,진도,크림색,,,"서울","서울시 관악구",,,,,,,,,,,,,,,,,,,,,,,
맑음이,개,맑음이.jpg,2024.06.05,2024.05.28,암,말라뮤트믹스,"검은색
회색
흰색",,,"경기도","평택시",,,,,,,,,,,,,,,,,,,,,,,
가정이,개,가정이.jpg,2024.06.11,2024.05.31,수,진도,흰색,,,"경기도","시흥시",,,,,,,,,,,,,,,,,,,,,,,
쪼코,개,쪼코.jpg,2024.06.12,2024.06.05,암,푸들,갈색,5kg,경기도,"안성시","대덕면 신령리",안성롯데캐슬,"아파트 후문 아래쪽
(24.6.6.)",X,없음,,쪼코1.jpg,쪼코2.jpg,"짧은 꼬리
코 아래 사마귀
배에 지방종",쪼코3.jpg,쪼코4.jpg,,,,,,,,,,,,,
포동,개,포동.jpg,2024.06.13,2024.06.12,수,시바,갈색,,경기도,"구리시","토평동",장자호수공원,"용마터널
(24. 6. 12 7PM)",,,"주황색 목줄",포동1.jpg,포동2.jpg,,포동3.jpg,포동4.jpg,,,,,,,,,,,,,
태양이,개,태양이.jpg,2024.06.16,2024.06.08,수,믹스,"검은색
크림색",11kg,경기도,"수원시 영통구","원천동",영통현대테라타워,"영덕초 건너 영흥숲
(24.6.14. 3PM)
-> 포획 진행 중",,,,태양이1.jpg,태양이2.jpg,접힌 귀,태양이3.jpg,,,,,,,,,,,,,,
뽀뽀,개,뽀뽀.jpg,2024.06.20,2024.06.18,암,비숑프리제,흰색,8kg,경기도,"수원시 팔달구","지동","신세계마트
못골공원",,X,내장칩,,뽀뽀1.png,뽀뽀2.png,"등부분 점 얼룩덜룩
미니 비숑 크기 작음",,,,,,,,,,,,,,,
마루 (경기 광주),개,마루_광주.jpg,2024.06.22,2024.06.18,수,리트리버 믹스,베이지색,20kg,경기도,"광주시","오포읍 능평동","베르빌아파트
~능원초 사이",,X,없음,"빨간색 목줄
삼각형 손잡이 달린 흰색 리드줄",마루_광주1.jpg,마루_광주2.png,,마루_광주3.png,마루_광주4.jpg,,,,,,,,,,,,,
레오 (광주),개,레오_광주.jpg,2024.06.22,2024.06.20,수,믹스,갈색,8kg,전라남도,"광주시 광산구","수완동 ",윤슬의아침4차,,O,내장칩,,레오_광주1.jpg,레오_광주2.jpg,"여우같은 생김새
털갈이중",레오_광주3.jpg,레오_광주4.jpg,,,,,,,,,,,,,
후추,개,후추.jpg,2024.06.22,2024.06.20,암,그레이하운드,회색,4kg,경기도,"수원시 영통구","매탄동",머내생태공원,,,외장칩,"녹색 목걸이에 인식표
파란색 손잡이 자동리드줄",후추1.jpg,후추2.jpg,"귀끝 접혀있음
뒷 발가락 흰 털
뒷 목에 땜빵",,,,,,,,,,,,,,,
미소 (금비),개,미소.jpg,2024.06.23,2024.06.17,암,스피츠,흰색,5kg,서울,"서울시 성북구","안암동1가","안암래미안
개운산 진입로쪽",,O,내장칩,,미소1.jpg,미소2.jpg,"넓은 미간
쫑긋 귀
등~엉덩이쪽 털 안난 부분",미소3.jpg,미소4.jpg,,,,,,,,,,,,,
초롱이,개,초롱이.jpg,2024.06.24,2024.04.25,수,믹스,흰색,6kg,경기도,"평택시","평택동",평택역,"[확실] 코브리독스(평택세교점)
오후 4시 (24.6.03)",,없음,"파란색 철물점 목줄",초롱이1.jpg,초롱이2.jpg,"부정교합
눈물자국
쫑긋 귀",초롱이3.jpg,초롱이4.jpg,,,,,,,,,,,,,
아루,개,아루.png,2024.07.21,2023.11.04,암,믹스,흰색,6kg,경기도,"포천시","가산면 소흘읍",,,,,"분홍색 방울 목걸이",아루1.png,아루2.jpg,"접힌 귀
짧은 다리",아루3.jpg,,,,,,,,,,,,,,
복돌이,개,복돌이.jpg,2024.06.25,2024.06.22,수,말티즈,흰색,4kg,경상남도,"부산시","서구 충무동",,,,,,복돌이1.jpg,복돌이2.jpg,혀가 나옴,,,,,,,,,,,,,,,
강이,개,강이.jpg,2024.06.26,2024.06.25,수,믹스,흰색,10kg,경기도,"동두천시","송내동",동두천터미널,송내아이파크,,,,강이1.jpg,강이2.jpg,갈색귀,,,,,,,,,,,,,,,
봉순이,개,봉순이.png,2024.06.28,2024.06.07,암,믹스,검은색,,"충청남도 ","보령시(대천)","대천동",해태로 6,,,,,봉순이1.jpg,봉순이2.png,"날씬한 체형
코 위 회색털
엉덩이 털 복실
가슴~배 흰털
긴 발톱",봉순이3.jpg,봉순이4.jpg,,,,,,,,,,,,,봉순이
카키,개,카키.jpg,2024.06.29,2024.06.19,수,말티즈,흰색,2kg,강원도,"원주시","문막읍 반계리",반계저수지,,,없음,,카키1.jpg,,"눈물자국
등에 갈색 털
아래 앞니 없음",,,,,,,,,,,,,,,카키
달이,개,달이.jpg,2024.06.29,2024.06.23,암,믹스,"흰색
갈색",4kg,전라남도,"광주시 서구","연제동",,스타벅스 앞,,,"오른쪽 눈 체리아이 말린 꼬리",달이1.jpg,,,,,,,,,,,,,,,,,
백곰이,개,백곰이.jpg,2024.06.30,2024.06.30,수,진도믹스,흰색,25kg,인천,"인천시 서구","가정동",가정동성당 뒤 공원,,O,없음,"노랑+회색 목줄",백곰이1. jpg,백곰이2.jpg,,,,,,,,,,,,,,,,
뿅,개,뿅.jpg,2024.07.05,2024.06.26,수,보더콜리믹스,"흰색
검은색",10kg,인천,"인천시 동구","창영동",인천세무서 인근,,O,,"빨간색 하네스",뿅1.jpg,뿅2.jpg,미용한지 얼마 되지 않음,뿅3.jpg,뿅4.jpg,,,,,,,,,,,,,
초코,개,초코.jpg,2024.07.06,2024.07.04,암,카이,"검정색
갈색",15kg,서울,"서울시 중랑구","면목동",마젤란21아파트 사거리,,,,"검은색 하네스
리드줄 착용",초코1.jpg,초코2.jpg,호구무늬,초코3.jpg,초코4.jpg,,,,,,,,,,,,,
겨울이,개,겨울이.jpg,2024.07.07,2024.06.21,수,믹스,흰색,,충청남도,"당진시","구룡동",160-1,,O,없음,,겨울이1.jpg,겨울이2.jpg,"미용한지 얼마 안됨
피부 검정 반점 많음",겨울이3.jpg,겨울이4.jpg,,,,,,,,,,,,,
코코 (푸들),개,코코_푸들.png,2024.07.09,2024.07.07,암,토이푸들,검회색,4kg,경기도,"과천시","문원동",청계산도토리,,O,내장칩,,코코_푸들1.jpg,코코_푸들2.jpg,,,,,,,,,,,,,,,,
파슬리,개,파슬리.jpg,2024.07.11,2024.07.10,암,믹스,갈색,5kg,경기도,"군포시","산본동",철쭉동산공원,,O,내장칩,"은색 목걸이",파슬리1.jpg,파슬리2.jpg,,파슬리3.jpg,파슬리4.jpg,,,,,,,,,,,,,
아리 (광주),개,아리_광주.jpg,2024.07.15,2024.06.14,암,믹스,"흰색
베이지색",9kg,전라남도,"광주시 서구","치평동",상무시민공원 에너지파크,,X,내장칩,"주황색 목줄
주황색 리드줄",아리_광주1.jpg,아리_광주2.jpg,"뾰족한 얼굴, 귀
양쪽 앞다리 상처들
오른쪽 다리 검게 변함",아리_광주3.jpg,아리_광주4.jpg,,,,,,,,,,,,,
베리,개,베리.jpg,2024.07.17,2024.07.14,수,셰퍼드,갈색,,경기도,"고양시 일산서구","대화동",,,O,없음,"초록색 목줄",베리1.jpg,베리2.jpg,"검은 주둥이
순한 성격",,,,,,,,,,,,,,,
호두,개,호두.png,2024.07.18,2024.07.15,수,푸들,진한 갈색,7kg,서울,"서울시 금천구","독산동",호정타워 아파트 인근,,O,없음,,호두1.jpg,호두2.jpg,"털이 짧음
한쪽 눈 백내장",,,,,,,,,,,,,,,
일라,개,일라.jpg,2024.07.20,2024.07.16,암,믹스,"검은색
갈색
흰색",14kg,경상북도,"대구시 수성구","신매동",신매광장 건너편,,X,없음,"흰색 바탕 노란색 무늬 옷
노란색+회색 하네스
하네스에 계란모양 봉투주머니",일라1.jpg,일라2.jpg,,일라3.jpg,일라4.jpg,,,,,,,,,,,,,
개보린,개,개보린.jpg,2024.07.22,2024.07.22,암,보스턴테리어,"검은색
흰색",6kg,인천,"인천시 부평구","부평동",현대 더로프드,,,,,개보린1.jpg,개보린2.jpg,,개보린3.jpg,,,,,,,,,,,,,,
도끼,개,도끼.jpg,2024.07.23,2024.07.21,수,믹스견,"감정색
갈색
흰색",23kg,인천,"인천시 강화군","불은면",오성교회 인근,,O,내장칩,,도끼1.jpg,도끼2.jpg,"공장화재로 화상 - 네발 모두 살색 붕대
귀쫑긋",도끼3.jpg,도끼4.jpg,,,,,,,,,,,,,
울프,개,울프.jpg,2024.07.24,2024.07.14,암,풍산믹스,"베이지색
흰색",17kg,서울,"서대문구","남가좌동",홍제천 홍남교 인근,,X,내장칩,,울프1.jpg,울프2.jpg,"접힌 귀
눈썹~미간 흰색 무늬",울프3.jpg,울프4.jpg,,,,,,,,,,,,,
봉구,개,봉구. jpg,-,2024.07.05,수,래브라도 리트리버,흰색,,경기도,"평택시","포승읍",포승장안로 421-69,,,,,봉구1.jpg,봉구2.jpg,"몸 양쪽 뒷다리에 그을린 검정색
앞다리 관절에 상처",봉구3.jpg,봉구4.jpg,,,,,,,,,,,,,
소금이,개,소금이.jpg,2024.07.24,2024.07.22,암,진도,흰색,14kg,경기도,"광명시","하안동",안양천 하안주공 13단지 인근,,X,없음,,소금이1.jpg,소금이2.jpg,"도망가다 교통사고 나서 왼쪽 뒷발 다침
꼬리가 길고 풍성해서 말려 올라가 등에 닿음",소금이3.jpg,소금이4.jpg,,,,,,,,,,,,,
푸름이,개,정푸름.jpg,2024.07.25,2024.07.24,수,말티즈,흰색,5kg,서울,"서울시 강동구","천호3동",진황도로 31길,,,없음,,정푸름1.jpg,정푸름2.jpg,"귀쪽에 상처 있슴
등치가 큼,  갈비뼈 보임",정푸름3.jpg,정푸름4.jpg,,,,,,,,,,,,,
행복이,개,행복이.jpg,2024.07.25,2024.07.24,수,포메리안 믹스,"흰색
크림색",4.8kg,강원도,"영월군","무릉도원면 무릉법흥로 932",하얀여울 캠핑장,,O,없음,,행복이1.jpg,행복이2.jpg,"등쪽에 갈색 얼룩 있음, 짧은 미용으로 털 짧음, 눈물자국, 꼬리에 털이 없는 편, 양쪽 눈 백내장, 앞다리가 휘었음, 노령견이라 걸을 때 다리가 조금 불편합니다(절지는 않고 후들후들함)",행복이3.jpg,행복이4.jpg,,,,,,,,,,,,,
깜둥이,개,깜둥이.jpg,2024.07.25,2024.07.22,암,진도믹스,검정색,9kg,경기도,"부천시 원미구","상동",석천초등학교 인근,판타스틱 스튜디오 인근,X,없음,,깜둥이1.jpg,깜둥이2.jpg,,깜둥이3.jpg,깜둥이4.jpg,,,,,,,,,,,,,
성미,개,성미.jpg,2024.07.26,2024.07.20,암,진도,흰색,15kg,전라남도,"광주시 북구","본천동",호남권역재활병원,,,내장칩,"분홍/하늘 목줄",성미1.jpg,성미2.jpg,콧잔등 상처,성미3.jpg,,,,,,,,,,,,,,
희동이,개,희동이.jpg,2024.07.26,2024.07.25,,믹스,"검은색
흰색",8kg,충청남도,"대전시 서구","둔산동",갤러리아 타임월드점 인근,,O,내장칩,"노란색 하네스+산책줄",희동이1.jpg,희동이2.jpg,"양쪽 귀가 까만색,
입에 점이 많음,
목털이 긺,
꼬리털이 부채처럼 풍성",,,,,,,,,,,,,,,
가을이,개,가을이.jpg,2024.07.26,2024.07.24,암,푸들,흰색,4kg,경상북도,"경주시","안강읍",안강시장 인근,,O,없음,,가을이1.jpg,가을이2.jpg,"젖꼭지 부분 종양 수술 흉터, 
최근에 미용함",희동이3.jpg,희동이4.jpg,,,,,,,,,,,,,
체리,개,체리.jpg,2024.07.26,2024.07.23,암,시츄,"흰색
갈색",6kg,경기도,"김포시","고촌읍",전호리마을회관,,O,없음,,체리1.jpg,체리2.jpg,"미용한지 오래됨
사람을 좋아해서 부르면 다가옴",체리3.jpg,체리4.jpg,,,,,,,,,,,,,
산타,개,산타.jpg,-,2024.07.23,수,골든리트리버,"갈색
크림색",25kg,경기도,"용인시 처인구","포곡읍",신원 3리 마을회관 인근,,O,내장칩,,산타1.jpg,산타2.jpg,"얼굴 중앙에 흰털 많음, 양 옆구리 털이 살딱 부족, 치아 거의 없음, 다리 안좋음, 뚱뚱",산타3.jpg,산타4.jpg,,,,,,,,,,,,,
포도,"개 ",포도.jpg,-,2024.07.24,수,요크셔테리어,"검정색
갈색",2.5kg,경기도,"수원시 권선구","호매실로 165번길 30",수원호매실휴먼시아16단지아파트 인근,,O,내장칩,,포도1.jpg,포도2.jpg,두 귀가 쫑끗,포도3.jpg,포도4.jpg,,,,,,,,,,,,,
푸리,개,푸리.jpg,2024.07.28,2024.07.10,암,비숑프리제,흰색,3kg,경기도,"시흥시","신천동",신천고등학교 인근,,O,내장칩,,푸리1.jpg,푸리2.jpg,몸 흙투성이,푸리3.jpg,푸리4.jpg,,,,,,,,,,,,,
예삐,개,예삐.jpg,2024.07.28,2024.07.25,암,말티즈믹스,흰색,4kg,충청북도,"진천군","진천시외버스터미널",누리약국 인근,벽암 휴먼시아아파트 주변,X,없음,,예삐1.jpg,예삐2.jpg,"왼쪽 배 부근에 사마귀, 미용됨, 몸통이 조금 긴 편이고 등에 옅은 반점이 조금 있음(털이 길면 안보임) 함몰유두 1개",예삐3.jpg,예삐4.jpg,,,,,,,,,,,,,
달래,개,달래.jpg,2024.07.30,2024.07.29,암,믹스,"흰색
갈색",7kg,경상북도,"포항시 북구","흥해읍 남성리",우리홈마트 인근,,O,없음,"노란색/검은색 줄무늬 하네스 (잘 벗음)",달래1.jpg,달래2.jpg,몸통이 길고 점박이 무늬,달래3.jpg,달래4.jpg,,,,,,,,,,,,,
멍뭉,개,멍뭉.jpg,2024.07.31,2024.07.28,암,진도믹스,흰색,15kg,경기도,"파주시","문발동",문발 초등학교 앞 세중앙교회,,O,없음,,멍뭉1.jpg,멍뭉2.jpg,"귀가 크고 뾰족, 
목 옆 갈기, 등,꼬리 황갈색/흰색",멍뭉3.jpg,멍뭉4.jpg,,,,,,,,,,,,,
뿌,개,뿌.jpg,2024.08.03,2024.08.02,암,보스턴테리어,"검은색
흰색",9kg,서울,"서울시 도봉구","방학동",학교~방학2동 동사무소 사이,,O,없음,,뿌1.jpg,뿌2.jpg,"눈주변이 하얀색, 꼬리에 털이 없음",,,,,,,,,,,,,,,
룰루,개,룰루.jpg,2024.08.03,2024.07.23,암,화이트 테리어 믹스,흰색,2kg,경기도,"광주시","신현동",먹보한우 앞,,X,내장칩,,룰루1.jpg,룰루2.jpg,오른쪽 뒷다리가 없는 장애견,룰루3.jpg,룰루4.jpg,,,,,,,,,,,,,